transaction_id,customer_id,amount,transaction_time,merchant_type,is_fraud,age,gender,income,account_balance,transaction_frequency,customer_segment,atm_id,atm_location,cash_withdrawal_amount,loan_id,loan_amount,credit_score,loan_status,news_headline,sentiment_score,stock_ticker
1263,4465,10460.88,1/1/2025 21:02,Food,0,34,Female,157263,97187.12,79,High Value,48,Delhi,34199.99,6263,1208758,886,In Progress,Company faces regulatory issues,-0.24,ICICIBANK
1264,1066,4243.57,1/1/2025 21:03,Food,0,38,Female,183153,328896.78,89,New,8,Delhi,42689.44,6264,235974,796,In Progress,Corporate layoffs rise across tech firms,-0.44,SBIN
1265,1232,23339.99,1/1/2025 21:04,Bill,0,49,Female,160737,58625.12,77,Low,32,Bengaluru,19297.25,6265,2172347,756,Paid,Tech stocks rally on innovation,0.14,SBIN
1266,3156,24111.78,1/1/2025 21:05,Travel,0,20,Female,76625,414344.16,44,New,26,Chennai,26287.62,6266,2573326,305,Paid,Company faces regulatory issues,0.92,HDFCBANK
1267,2169,42047.03,1/1/2025 21:06,Bill,0,32,Male,70504,124043.61,88,High Value,18,Kolkata,3385.28,6267,1365785,851,In Progress,Market rises amid strong earnings,-0.22,TCS
1268,3158,11069.72,1/1/2025 21:07,Online,1,25,Male,190666,262317.37,79,High Value,37,Chennai,19321.35,6268,2022586,664,Paid,Rupee weakens against Dollar,0.94,WIPRO
1269,3275,19055.75,1/1/2025 21:08,Online,0,49,Male,72631,298175.68,88,New,12,Bengaluru,7029.13,6269,1702064,606,In Progress,Tech stocks rally on innovation,0.31,SBIN
1270,1110,40422.2,1/1/2025 21:09,Bill,0,55,Female,64239,181563.75,90,High Value,38,Mumbai,3328.62,6270,1607164,301,Paid,Market rises amid strong earnings,0.59,ICICIBANK
1271,2493,41182.94,1/1/2025 21:10,Travel,0,43,Female,119583,332104.95,83,Medium,34,Hyderabad,8684.45,6271,811148,457,Paid,Market rises amid strong earnings,-0.33,INFY
1272,3081,19236.71,1/1/2025 21:11,Medical,0,47,Female,17967,125483.37,57,New,4,Chennai,43555.11,6272,1847157,527,Paid,Tech stocks rally on innovation,-0.55,RELIANCE
1273,1622,22961.61,1/1/2025 21:12,Bill,0,26,Other,52018,17794.97,24,New,16,Bengaluru,49112,6273,1834958,498,Paid,Oil prices surge on global conflict,0.15,INFY
1274,4847,15171.26,1/1/2025 21:13,Online,0,74,Male,198758,479654.23,19,Low,24,Kolkata,43972.79,6274,1689784,699,Paid,Oil prices surge on global conflict,0.98,WIPRO
1275,4440,46628.42,1/1/2025 21:14,Travel,0,49,Male,170867,160362.89,17,New,14,Kolkata,48486.56,6275,2253287,382,Paid,Tech stocks rally on innovation,0.42,TCS
1276,3795,5941,1/1/2025 21:15,Online,0,28,Other,83774,356874.39,69,Medium,17,Bengaluru,36567.26,6276,2863978,738,Paid,Company faces regulatory issues,0.36,WIPRO
1277,3642,46688.13,1/1/2025 21:16,Travel,0,39,Other,154585,254013.04,61,High Value,31,Mumbai,8069.3,6277,2909298,740,Paid,Company faces regulatory issues,-0.1,TCS
1278,4625,34196.48,1/1/2025 21:17,Travel,0,51,Male,83274,334664.84,4,New,4,Kolkata,28202.21,6278,233487,761,Paid,Banking sector sees strong growth,0.76,TCS
1279,3472,26583.29,1/1/2025 21:18,Bill,0,58,Female,85472,55912.79,22,New,44,Kolkata,36606.64,6279,1959836,344,Paid,Rupee weakens against Dollar,0.39,TCS
1280,3660,1642.63,1/1/2025 21:19,Bill,0,35,Male,49604,259664.51,74,Low,34,Chennai,25721.79,6280,477106,735,Paid,Rupee weakens against Dollar,0.35,SBIN
1281,2541,23785.05,1/1/2025 21:20,Bill,0,36,Female,82104,196413.67,85,Low,38,Chennai,27777.89,6281,2824013,474,Paid,Company faces regulatory issues,-0.41,INFY
1282,3739,20393.33,1/1/2025 21:21,Travel,0,71,Male,123818,226198.86,89,High Value,38,Mumbai,29350.89,6282,758571,844,Paid,Oil prices surge on global conflict,0.92,WIPRO
1283,2305,8069.33,1/1/2025 21:22,Travel,0,35,Male,111396,483121.06,6,New,3,Mumbai,23395.64,6283,1044975,683,In Progress,Tech stocks rally on innovation,-0.5,HDFCBANK
1284,4391,32823.92,1/1/2025 21:23,Online,0,54,Other,192887,68576.31,30,Medium,8,Mumbai,14600.36,6284,1586677,707,Default,Company faces regulatory issues,0.05,WIPRO
1285,2761,48557.83,1/1/2025 21:24,Food,0,35,Other,19720,377472.74,93,High Value,12,Mumbai,31887.55,6285,2328881,846,Paid,Tech stocks rally on innovation,-0.32,SBIN
1286,4514,28113.82,1/1/2025 21:25,Bill,0,29,Female,55725,165506.23,75,Medium,35,Bengaluru,2770.07,6286,735488,491,Paid,Rupee weakens against Dollar,-0.64,SBIN
1287,2975,35740.52,1/1/2025 21:26,Fuel,0,21,Female,58923,145533.81,11,New,2,Bengaluru,8629.27,6287,2439056,384,Paid,Banking sector sees strong growth,-0.71,ICICIBANK
1288,3362,3431.84,1/1/2025 21:27,Online,0,64,Male,54293,135753.31,48,High Value,29,Delhi,46270.55,6288,964352,763,In Progress,Tech stocks rally on innovation,-0.41,ICICIBANK
1289,1876,20889.17,1/1/2025 21:28,Online,0,60,Other,45029,174716.39,46,Low,23,Delhi,24491.93,6289,732436,615,Default,Banking sector sees strong growth,0.38,WIPRO
1290,2989,5826.76,1/1/2025 21:29,Retail,0,44,Female,41585,178879.97,27,Low,33,Delhi,41102.02,6290,350515,328,Paid,Rupee weakens against Dollar,0.95,ICICIBANK
1291,4812,30643.66,1/1/2025 21:30,Bill,0,68,Female,73271,135738.13,19,Medium,18,Kolkata,36354.38,6291,2912998,573,Paid,Banking sector sees strong growth,0.71,RELIANCE
1292,4448,46924.72,1/1/2025 21:31,Medical,0,22,Female,169970,333912.83,86,High Value,40,Mumbai,16103.38,6292,2711740,485,Paid,Rupee weakens against Dollar,-0.56,TCS
1293,2312,33092.27,1/1/2025 21:32,Online,0,23,Male,38449,24337.13,92,Medium,22,Bengaluru,40202.09,6293,610997,347,Paid,Banking sector sees strong growth,-0.84,SBIN
1294,2460,3849.38,1/1/2025 21:33,Retail,0,30,Female,152809,166480.76,59,Low,14,Bengaluru,4656.99,6294,2112797,566,Paid,Market rises amid strong earnings,0.37,INFY
1295,3709,17739.76,1/1/2025 21:34,Fuel,0,40,Female,50308,140462.7,68,New,29,Mumbai,43761.41,6295,2504224,686,Paid,Oil prices surge on global conflict,-0.94,INFY
1296,3324,27537.66,1/1/2025 21:35,Fuel,0,59,Other,138374,375833.3,54,Low,45,Delhi,34059.94,6296,2001814,445,Paid,Rupee weakens against Dollar,0.72,WIPRO
1297,2733,20166.36,1/1/2025 21:36,Medical,0,73,Other,72175,73676.02,83,New,15,Chennai,46360.91,6297,1821470,315,Paid,Corporate layoffs rise across tech firms,0.65,INFY
1298,2605,41683.86,1/1/2025 21:37,Bill,0,42,Other,44059,470373.23,17,Medium,15,Kolkata,44785.97,6298,242941,596,In Progress,Global markets fall due to uncertainty,0.59,HDFCBANK
1299,2526,40735.4,1/1/2025 21:38,Travel,0,63,Male,171520,85674.05,50,Medium,45,Bengaluru,19075.08,6299,1184108,748,Paid,Oil prices surge on global conflict,0.1,TCS
1300,3671,30595.43,1/1/2025 21:39,Retail,0,21,Other,165780,185328.67,40,Medium,4,Hyderabad,42855.94,6300,2994541,854,Paid,Tech stocks rally on innovation,0.95,ICICIBANK
1301,3563,18679.16,1/1/2025 21:40,Travel,0,69,Other,97549,100250.25,87,New,36,Kolkata,28194.5,6301,1719313,726,Paid,Oil prices surge on global conflict,-0.08,ICICIBANK
1302,4421,12774.27,1/1/2025 21:41,Fuel,0,72,Other,149058,143705.62,92,Medium,5,Kolkata,7940,6302,1232942,646,Paid,Rupee weakens against Dollar,0.97,TCS
1303,3890,5302.66,1/1/2025 21:42,Fuel,0,49,Other,137767,380631.84,11,Medium,3,Delhi,41494.59,6303,428787,586,In Progress,Rupee weakens against Dollar,0.76,SBIN
1304,4517,17751.34,1/1/2025 21:43,Food,1,61,Female,67934,238464.16,14,High Value,12,Mumbai,45405.2,6304,2464206,792,Paid,Company faces regulatory issues,-0.75,ICICIBANK
1305,4901,20664.49,1/1/2025 21:44,Food,0,32,Male,152557,81706.57,13,New,20,Hyderabad,4318.91,6305,2841946,583,Paid,Corporate layoffs rise across tech firms,0.79,SBIN
1306,3397,33794.39,1/1/2025 21:45,Medical,0,43,Female,135094,23794.12,88,Medium,44,Delhi,46534.59,6306,1735876,862,Paid,Global markets fall due to uncertainty,-0.39,ICICIBANK
1307,2630,32911.41,1/1/2025 21:46,Food,0,59,Female,133156,115343.15,80,Medium,20,Mumbai,30103.12,6307,325324,838,Paid,Oil prices surge on global conflict,0.54,TCS
1308,4735,3514.71,1/1/2025 21:47,Food,0,28,Male,104064,472828.59,28,New,39,Hyderabad,1392.28,6308,1872614,820,Paid,Global markets fall due to uncertainty,-1,INFY
1309,3870,19769.01,1/1/2025 21:48,Medical,0,26,Female,26772,422735.72,94,New,39,Chennai,27135.55,6309,1976937,676,Paid,Oil prices surge on global conflict,-0.45,WIPRO
1310,2160,9097.13,1/1/2025 21:49,Online,0,28,Other,158603,220366.77,44,Low,1,Chennai,39857.78,6310,242780,679,Default,Rupee weakens against Dollar,0.52,SBIN
1311,1758,7849.07,1/1/2025 21:50,Food,0,19,Male,72564,241256.61,63,Low,44,Bengaluru,26705.75,6311,2701695,721,In Progress,Rupee weakens against Dollar,0.94,WIPRO
1312,3946,41366.83,1/1/2025 21:51,Online,0,62,Female,53635,449733.39,61,High Value,3,Hyderabad,35391.59,6312,1089976,518,Paid,Market rises amid strong earnings,-0.66,RELIANCE
1313,1242,2105.34,1/1/2025 21:52,Online,0,44,Female,171991,295877.02,91,Medium,47,Delhi,43991.18,6313,2919153,356,Paid,Tech stocks rally on innovation,-0.08,SBIN
1314,3590,20964.95,1/1/2025 21:53,Bill,0,71,Other,168972,440443.15,17,New,9,Hyderabad,43501.1,6314,216020,413,Paid,Rupee weakens against Dollar,0.17,WIPRO
1315,2063,8418.5,1/1/2025 21:54,Online,0,43,Female,52394,246173.63,50,Medium,20,Hyderabad,9025.61,6315,1527470,545,Default,Tech stocks rally on innovation,0.91,WIPRO
1316,1228,43967.72,1/1/2025 21:55,Online,0,25,Female,50030,100448.76,26,Low,9,Hyderabad,21413.79,6316,644564,774,Paid,Company faces regulatory issues,-0.09,SBIN
1317,3595,27856.46,1/1/2025 21:56,Food,0,38,Female,82950,363100.53,7,Low,31,Bengaluru,5647.14,6317,2738164,367,Paid,Market rises amid strong earnings,0.87,WIPRO
1318,1919,11576.72,1/1/2025 21:57,Online,0,38,Male,161631,263433.46,99,Low,46,Chennai,29795.38,6318,960565,357,Paid,Oil prices surge on global conflict,0.96,SBIN
1319,2246,25126.34,1/1/2025 21:58,Travel,0,25,Male,173629,334385.57,79,New,28,Chennai,47740.86,6319,1127723,603,In Progress,Corporate layoffs rise across tech firms,0.88,WIPRO
1320,1005,36577,1/1/2025 21:59,Medical,0,18,Female,184080,79036.84,16,Medium,35,Mumbai,9174.16,6320,47455,614,Default,Oil prices surge on global conflict,0.5,TCS
1321,4393,47906.32,1/1/2025 22:00,Food,0,55,Female,160125,323977.1,85,New,40,Hyderabad,20241.16,6321,1235374,375,Paid,Oil prices surge on global conflict,-0.75,ICICIBANK
1322,1467,11030.1,1/1/2025 22:01,Medical,0,30,Other,187889,191437.45,17,Medium,38,Kolkata,47705.94,6322,1267359,602,Paid,Oil prices surge on global conflict,0.2,ICICIBANK
1323,2755,44310.23,1/1/2025 22:02,Retail,0,26,Male,118426,166332.88,90,High Value,44,Delhi,37530.9,6323,1740727,883,In Progress,Corporate layoffs rise across tech firms,0.51,RELIANCE
1324,1074,46715.86,1/1/2025 22:03,Food,0,45,Male,151065,335902.03,35,Low,2,Kolkata,3651.36,6324,2094996,775,Paid,Global markets fall due to uncertainty,0.91,RELIANCE
1325,1003,45821.86,1/1/2025 22:04,Online,0,23,Male,138652,296323.44,84,Low,3,Mumbai,21477.94,6325,664947,301,Paid,Oil prices surge on global conflict,0.56,SBIN
1326,2870,31774.36,1/1/2025 22:05,Travel,0,64,Female,194453,324729.16,84,Low,14,Delhi,49395.5,6326,227659,339,Paid,Tech stocks rally on innovation,0.08,WIPRO
1327,1645,31494.73,1/1/2025 22:06,Medical,0,40,Other,28515,482683.87,23,Low,17,Mumbai,22716.81,6327,426199,347,Paid,Market rises amid strong earnings,-0.59,RELIANCE
1328,1117,20166.5,1/1/2025 22:07,Food,0,65,Other,122301,350747.64,69,New,35,Delhi,31507.13,6328,708287,356,Paid,Banking sector sees strong growth,-0.09,TCS
1329,3928,37622.37,1/1/2025 22:08,Travel,0,53,Female,162407,320629.03,9,Low,4,Chennai,35078.74,6329,2792808,811,Paid,Tech stocks rally on innovation,0.28,INFY
1330,2629,26569.39,1/1/2025 22:09,Medical,0,34,Female,73724,306969.74,87,Medium,47,Chennai,33230.18,6330,653818,311,Default,Oil prices surge on global conflict,-0.35,RELIANCE
1331,3551,33875.13,1/1/2025 22:10,Retail,0,26,Other,17175,199657.77,18,Medium,30,Kolkata,25984.05,6331,2639718,757,Paid,Global markets fall due to uncertainty,-0.09,SBIN
1332,3021,21428.61,1/1/2025 22:11,Fuel,0,29,Other,17405,419676.25,93,Low,39,Kolkata,6726.5,6332,1343874,623,Paid,Banking sector sees strong growth,-0.97,HDFCBANK
1333,1946,36577.51,1/1/2025 22:12,Retail,0,39,Male,67515,190778.83,75,Low,14,Bengaluru,35449.9,6333,326186,885,Paid,Rupee weakens against Dollar,0.76,SBIN
1334,3621,41225.33,1/1/2025 22:13,Fuel,0,68,Female,22341,350271.7,48,New,48,Mumbai,46673.06,6334,1687173,840,Paid,Corporate layoffs rise across tech firms,-0.93,INFY
1335,2464,7330.35,1/1/2025 22:14,Bill,1,69,Male,170356,146925.25,72,New,27,Kolkata,47090.66,6335,1044182,391,Paid,Banking sector sees strong growth,-0.18,RELIANCE
1336,1193,41648.16,1/1/2025 22:15,Fuel,0,29,Other,174074,74304.34,91,Medium,13,Delhi,29710.13,6336,2618491,638,Paid,Oil prices surge on global conflict,0.02,WIPRO
1337,1846,27019.42,1/1/2025 22:16,Bill,0,71,Male,106796,65316.77,66,Medium,20,Hyderabad,24660.65,6337,1609421,670,In Progress,Banking sector sees strong growth,0.94,ICICIBANK
1338,3762,42234.85,1/1/2025 22:17,Food,0,23,Other,124460,317462.15,23,High Value,49,Hyderabad,16764.66,6338,1817817,555,Paid,Oil prices surge on global conflict,0.87,WIPRO
1339,2415,21570.77,1/1/2025 22:18,Bill,0,61,Other,96499,164313.49,85,Medium,49,Hyderabad,5268.09,6339,843188,800,Paid,Global markets fall due to uncertainty,0.29,TCS
1340,4097,18958.23,1/1/2025 22:19,Travel,0,26,Male,98525,137887.12,10,High Value,24,Bengaluru,44167.58,6340,1614996,397,Paid,Market rises amid strong earnings,0.17,ICICIBANK
1341,2458,45753.89,1/1/2025 22:20,Bill,0,69,Female,165013,296233.64,38,Low,10,Kolkata,6938.97,6341,1515228,345,In Progress,Tech stocks rally on innovation,-0.27,ICICIBANK
1342,3220,12565.95,1/1/2025 22:21,Travel,0,54,Male,171091,13322.04,59,Low,7,Mumbai,14468.49,6342,2617327,319,Default,Market rises amid strong earnings,-0.92,TCS
1343,4371,42212.17,1/1/2025 22:22,Medical,0,70,Male,161851,123489.71,68,Low,17,Mumbai,37045.88,6343,2153295,358,Default,Oil prices surge on global conflict,-0.46,INFY
1344,2668,24206.19,1/1/2025 22:23,Medical,0,20,Female,33426,170603.37,85,Medium,22,Bengaluru,35267.71,6344,912273,539,Paid,Global markets fall due to uncertainty,0.7,ICICIBANK
1345,3373,25709.63,1/1/2025 22:24,Fuel,0,51,Female,176255,354332.61,43,Medium,44,Delhi,34082.54,6345,1498683,675,Paid,Corporate layoffs rise across tech firms,0.3,INFY
1346,2433,15430.33,1/1/2025 22:25,Fuel,0,25,Male,50927,272728.12,12,Low,11,Chennai,37111.18,6346,2702746,335,Paid,Company faces regulatory issues,0.63,WIPRO
1347,2141,28656.38,1/1/2025 22:26,Fuel,0,27,Other,21395,428066.31,53,New,42,Kolkata,27144.67,6347,1213809,812,In Progress,Oil prices surge on global conflict,0.67,TCS
1348,3883,16267.31,1/1/2025 22:27,Bill,0,64,Male,152046,167585.93,14,Low,23,Kolkata,7832.05,6348,1601822,686,Paid,Tech stocks rally on innovation,-0.88,RELIANCE
1349,2810,1973.08,1/1/2025 22:28,Fuel,0,58,Other,20150,148572.28,52,High Value,22,Delhi,49918.06,6349,1191926,482,In Progress,Tech stocks rally on innovation,-0.33,ICICIBANK
1350,1723,13607.21,1/1/2025 22:29,Bill,0,59,Female,92668,17082.11,84,New,40,Delhi,44617.77,6350,290383,615,Paid,Rupee weakens against Dollar,0.35,ICICIBANK
1351,1224,328.89,1/1/2025 22:30,Bill,0,60,Female,64572,475882.79,72,New,47,Kolkata,21614.5,6351,1437207,686,Default,Oil prices surge on global conflict,0.71,TCS
1352,1531,48917.96,1/1/2025 22:31,Online,0,26,Other,188883,250995.33,91,Medium,18,Kolkata,26563.27,6352,1741266,384,Paid,Company faces regulatory issues,0.6,TCS
1353,1112,48287.7,1/1/2025 22:32,Online,1,31,Male,99028,251510.7,61,Medium,45,Hyderabad,19738.19,6353,1378848,746,In Progress,Rupee weakens against Dollar,-0.16,RELIANCE
1354,3187,19763.81,1/1/2025 22:33,Bill,0,54,Female,69497,461756.35,41,High Value,26,Mumbai,31935.11,6354,1162531,893,Paid,Banking sector sees strong growth,0.86,WIPRO
1355,1558,36421.26,1/1/2025 22:34,Medical,0,44,Other,117300,145314.16,21,Low,48,Hyderabad,36583.89,6355,63157,527,Paid,Tech stocks rally on innovation,-0.4,TCS
1356,3048,17296.85,1/1/2025 22:35,Travel,0,58,Other,37466,166387.01,48,Low,30,Hyderabad,11655,6356,2935109,348,Paid,Rupee weakens against Dollar,-0.25,WIPRO
1357,3137,33557.95,1/1/2025 22:36,Food,0,49,Male,24550,328345.67,56,Medium,13,Mumbai,21696.55,6357,2549768,601,Paid,Tech stocks rally on innovation,-0.64,HDFCBANK
1358,1653,40273.45,1/1/2025 22:37,Retail,0,21,Other,68062,392695.39,35,Medium,4,Bengaluru,32047.72,6358,738374,364,In Progress,Rupee weakens against Dollar,-0.55,HDFCBANK
1359,1319,47338.34,1/1/2025 22:38,Online,0,19,Other,50394,349805.71,44,Low,43,Chennai,49402.18,6359,1875768,768,Paid,Rupee weakens against Dollar,-0.98,SBIN
1360,2573,20016.61,1/1/2025 22:39,Bill,0,68,Male,113794,394464.78,39,New,27,Bengaluru,16311.22,6360,1152362,671,Paid,Oil prices surge on global conflict,-0.38,SBIN
1361,2828,39167.07,1/1/2025 22:40,Retail,0,50,Female,155559,287766.47,15,High Value,40,Bengaluru,37275.52,6361,706324,839,Paid,Tech stocks rally on innovation,-0.39,TCS
1362,2917,13303.76,1/1/2025 22:41,Online,0,38,Female,70084,431480.33,12,High Value,10,Bengaluru,17398.92,6362,1258404,893,In Progress,Global markets fall due to uncertainty,-0.87,RELIANCE
1363,1138,49516.71,1/1/2025 22:42,Food,0,18,Female,90809,275278.31,98,High Value,44,Delhi,4707.75,6363,2972052,776,Paid,Company faces regulatory issues,-0.32,WIPRO
1364,4582,1298.22,1/1/2025 22:43,Travel,1,61,Other,177003,115055.64,8,Medium,28,Hyderabad,38530.28,6364,1596452,629,Paid,Rupee weakens against Dollar,-0.4,HDFCBANK
1365,4939,30180.41,1/1/2025 22:44,Bill,1,28,Other,100291,271079.7,94,New,21,Delhi,32500.41,6365,2086531,308,In Progress,Tech stocks rally on innovation,0.6,ICICIBANK
1366,3892,32978.7,1/1/2025 22:45,Food,0,18,Male,94220,356615.87,67,High Value,11,Delhi,25765.55,6366,132885,461,Default,Rupee weakens against Dollar,-0.69,RELIANCE
1367,3026,34405.4,1/1/2025 22:46,Medical,0,63,Other,26366,326960.88,94,New,20,Mumbai,33784.29,6367,666715,703,Default,Oil prices surge on global conflict,0.45,TCS
1368,3306,6028.18,1/1/2025 22:47,Online,0,28,Other,135525,121886.87,93,Medium,36,Bengaluru,43977.07,6368,1359840,605,Default,Company faces regulatory issues,-0.74,HDFCBANK
1369,4744,46927.1,1/1/2025 22:48,Bill,0,24,Female,177935,21018.57,1,Medium,19,Kolkata,37849.88,6369,1374527,396,Paid,Banking sector sees strong growth,-0.01,RELIANCE
1370,1901,9067.35,1/1/2025 22:49,Retail,0,19,Other,174401,126614.14,80,Low,10,Bengaluru,42905.09,6370,824744,789,Paid,Tech stocks rally on innovation,0.47,SBIN
1371,1689,31141.44,1/1/2025 22:50,Medical,1,32,Other,118293,492029.01,42,New,15,Hyderabad,14571.94,6371,242181,820,Paid,Market rises amid strong earnings,0.21,WIPRO
1372,3039,11141.58,1/1/2025 22:51,Medical,0,25,Other,78818,92640.89,31,New,45,Delhi,40044.13,6372,1606677,577,Paid,Oil prices surge on global conflict,0.29,ICICIBANK
1373,1009,15367.75,1/1/2025 22:52,Fuel,0,71,Male,125325,232453.69,74,New,45,Hyderabad,18064.47,6373,839289,801,Paid,Market rises amid strong earnings,-0.59,WIPRO
1374,1260,27327.46,1/1/2025 22:53,Travel,0,69,Other,187443,319353.73,30,Low,18,Delhi,1130.53,6374,2739587,795,Paid,Corporate layoffs rise across tech firms,0.65,TCS
1375,2942,20865.5,1/1/2025 22:54,Medical,0,74,Male,75325,439796.86,43,High Value,7,Delhi,2254.89,6375,2273764,786,Paid,Oil prices surge on global conflict,0.9,INFY
1376,2673,8019.68,1/1/2025 22:55,Online,0,64,Female,186313,380249.19,26,High Value,30,Delhi,36544.69,6376,1710104,622,Paid,Market rises amid strong earnings,-0.69,HDFCBANK
1377,3219,8555.11,1/1/2025 22:56,Travel,0,43,Other,16676,454522.08,12,Medium,14,Kolkata,13668.27,6377,1191538,508,Default,Market rises amid strong earnings,0.78,ICICIBANK
1378,3945,20913.06,1/1/2025 22:57,Bill,0,57,Male,121094,302389.65,59,Low,37,Bengaluru,15448.45,6378,1487705,308,Paid,Oil prices surge on global conflict,-0.2,RELIANCE
1379,3060,37866.58,1/1/2025 22:58,Fuel,0,59,Female,151354,432726.74,69,New,41,Delhi,31166.64,6379,984815,602,Default,Global markets fall due to uncertainty,0.4,HDFCBANK
1380,2191,44899.25,1/1/2025 22:59,Food,0,68,Other,41222,132289.58,73,Low,30,Mumbai,37101.31,6380,1548471,591,Default,Oil prices surge on global conflict,0.01,SBIN
1381,4713,4215.54,1/1/2025 23:00,Travel,0,52,Male,28376,215567.14,11,Medium,27,Chennai,27988.32,6381,544120,653,Paid,Banking sector sees strong growth,0.59,HDFCBANK
1382,2619,19661.26,1/1/2025 23:01,Retail,0,69,Male,24431,421964.35,47,High Value,49,Chennai,35347.97,6382,2483362,301,Paid,Tech stocks rally on innovation,-0.91,TCS
1383,1320,5021.28,1/1/2025 23:02,Online,0,63,Female,48370,163119.05,23,High Value,37,Delhi,47058.54,6383,2929443,774,Paid,Banking sector sees strong growth,-0.35,ICICIBANK
1384,2342,839.46,1/1/2025 23:03,Retail,0,58,Other,148009,435675.46,81,Medium,48,Bengaluru,42722.58,6384,326687,807,Paid,Oil prices surge on global conflict,-0.91,HDFCBANK
1385,2636,33089.32,1/1/2025 23:04,Travel,0,58,Other,170673,181875.98,43,Low,41,Bengaluru,12116.1,6385,2486381,363,Paid,Market rises amid strong earnings,0.88,HDFCBANK
1386,3376,30126.45,1/1/2025 23:05,Fuel,0,38,Other,120116,182015.65,77,Medium,17,Kolkata,45348.9,6386,155535,709,Paid,Oil prices surge on global conflict,-0.66,ICICIBANK
1387,3832,8159.33,1/1/2025 23:06,Food,0,74,Male,16067,154861.94,81,New,30,Delhi,14933.49,6387,1914747,410,Paid,Banking sector sees strong growth,-0.15,RELIANCE
1388,3824,11698.3,1/1/2025 23:07,Food,0,55,Other,93937,273698.07,87,New,18,Mumbai,33063.35,6388,2985265,717,Paid,Banking sector sees strong growth,0.28,TCS
1389,2994,1195.15,1/1/2025 23:08,Retail,0,25,Male,118556,64969.84,39,Medium,3,Kolkata,43748.34,6389,351518,507,Paid,Global markets fall due to uncertainty,-0.08,HDFCBANK
1390,3958,41749.01,1/1/2025 23:09,Bill,0,60,Male,159544,18783.02,73,New,28,Kolkata,31209.96,6390,1390254,391,Paid,Oil prices surge on global conflict,0.07,SBIN
1391,2943,48734.78,1/1/2025 23:10,Bill,0,49,Female,179219,448757.78,82,New,37,Delhi,40329.19,6391,1120225,377,In Progress,Rupee weakens against Dollar,-0.59,ICICIBANK
1392,4621,6781.62,1/1/2025 23:11,Fuel,0,25,Male,106396,464504.66,55,High Value,30,Delhi,46374.62,6392,2460836,817,In Progress,Rupee weakens against Dollar,-0.87,INFY
1393,3038,11581.45,1/1/2025 23:12,Food,0,61,Female,69654,38547.25,18,Low,21,Kolkata,48350.16,6393,2201083,345,Default,Market rises amid strong earnings,-0.49,SBIN
1394,4490,43421.79,1/1/2025 23:13,Retail,0,27,Female,198406,275073.93,94,High Value,49,Kolkata,20590.58,6394,927009,827,Default,Company faces regulatory issues,-0.37,SBIN
1395,4677,46323.93,1/1/2025 23:14,Retail,0,40,Other,151268,270071.24,42,High Value,20,Kolkata,49639.13,6395,2501661,550,Paid,Corporate layoffs rise across tech firms,-0.17,RELIANCE
1396,2118,20987.17,1/1/2025 23:15,Retail,0,21,Female,45593,186529.12,26,Low,22,Hyderabad,13656.89,6396,427337,753,Paid,Banking sector sees strong growth,-0.41,TCS
1397,4888,2540.62,1/1/2025 23:16,Travel,0,65,Other,125423,284667.96,18,High Value,36,Kolkata,23163.11,6397,97412,755,Paid,Oil prices surge on global conflict,-0.93,INFY
1398,2604,1979.2,1/1/2025 23:17,Fuel,0,69,Female,80059,229330.61,85,New,36,Bengaluru,38059.21,6398,2521958,549,Default,Rupee weakens against Dollar,-0.81,WIPRO
1399,3365,28701.75,1/1/2025 23:18,Bill,0,55,Male,122041,245072.69,41,Medium,21,Chennai,48510.66,6399,2570387,859,Paid,Banking sector sees strong growth,0.35,WIPRO
1400,1235,19650.83,1/1/2025 23:19,Bill,0,47,Other,59401,377790.74,42,Medium,24,Mumbai,2741.77,6400,1664577,475,Paid,Corporate layoffs rise across tech firms,-0.87,RELIANCE
1401,2969,1442.33,1/1/2025 23:20,Travel,0,58,Male,46593,263217.15,33,Low,21,Mumbai,47287.52,6401,1895495,711,Default,Market rises amid strong earnings,-0.91,HDFCBANK
1402,1333,29166.79,1/1/2025 23:21,Online,0,40,Other,156533,162167.22,43,Medium,7,Chennai,49933.91,6402,1297229,713,In Progress,Rupee weakens against Dollar,0.62,TCS
1403,2908,575.01,1/1/2025 23:22,Travel,0,22,Male,108220,290937.33,14,Medium,8,Delhi,45488.01,6403,2915648,584,Paid,Global markets fall due to uncertainty,-0.92,RELIANCE
1404,1375,39370.72,1/1/2025 23:23,Fuel,0,38,Female,50690,320556.62,55,Medium,22,Kolkata,5508.37,6404,72447,774,Paid,Oil prices surge on global conflict,-0.86,RELIANCE
1405,4530,15328.58,1/1/2025 23:24,Retail,1,73,Other,110360,331324.52,58,Medium,22,Mumbai,42050.94,6405,479387,605,Paid,Tech stocks rally on innovation,0.1,SBIN
1406,2160,2022.5,1/1/2025 23:25,Travel,0,23,Other,83923,309344.17,10,High Value,30,Mumbai,32024.11,6406,1176251,814,Paid,Market rises amid strong earnings,-0.11,RELIANCE
1407,3635,29421.73,1/1/2025 23:26,Retail,0,66,Other,36826,332469.08,28,New,34,Bengaluru,575.37,6407,325962,748,In Progress,Rupee weakens against Dollar,0.93,WIPRO
1408,2570,19890.24,1/1/2025 23:27,Fuel,0,34,Female,135240,155391.35,14,New,29,Bengaluru,49220.37,6408,2907435,522,Default,Oil prices surge on global conflict,0.87,RELIANCE
